timestamp,action_type,location_name,target_id,nearest_obs,status
"2025-12-19T12:58:45.958Z","VIEW_WEATHER","(35.6374999, 129.3517382)","","부산","SUCCESS"
"2025-12-19T13:00:00.215Z","VIEW_WEATHER","(37.351755073858904, 129.23056980202978)","","강릉","SUCCESS"
"2025-12-19T13:00:14.286Z","VIEW_WEATHER","(35.19059710192469, 129.0990088630194)","","부산","SUCCESS"
"2025-12-19T13:00:32.645Z","VIEW_WEATHER","(36.17199807776123, 129.52715860281225)","","부산","SUCCESS"
"2025-12-19T13:03:49.240Z","VIEW_WEATHER","(35.48639095345473, 129.4146608447689)","","부산","SUCCESS"
"2025-12-19T13:03:59.990Z","VIEW_WEATHER","(35.19003682757976, 129.16479742071544)","","부산","SUCCESS"
"2025-12-19T13:04:25.222Z","VIEW_WEATHER","(35.6374999, 129.3517382)","","부산","SUCCESS"
"2025-12-19T13:04:26.449Z","VIEW_WEATHER","(35.6374999, 129.3517382)","","부산","SUCCESS"
"2025-12-19T13:04:32.604Z","VIEW_WEATHER","(35.44532150808064, 129.32006835937503)","","부산","SUCCESS"
"2025-12-19T13:04:49.691Z","VIEW_WEATHER","(35.171986303354934, 129.09928386150904)","","부산","SUCCESS"
"2025-12-19T13:05:49.245Z","VIEW_WEATHER","(35.1, 129.1)","","부산","SUCCESS"
"2025-12-19T13:06:11.573Z","VIEW_WEATHER","(35.1, 129.1)","","부산","SUCCESS"
"2025-12-19T13:12:04.825Z","VIEW_WEATHER","(35.6374999, 129.3517382)","","부산","SUCCESS"
"2025-12-19T13:12:06.157Z","VIEW_WEATHER","(35.6374999, 129.3517382)","","부산","SUCCESS"
"2025-12-19T13:12:11.490Z","VIEW_WEATHER","(35.52575417012256, 129.42993164062503)","","부산","SUCCESS"
"2025-12-19T13:12:24.101Z","VIEW_WEATHER","(36.983591388283045, 129.43924856615413)","","강릉","SUCCESS"
"2025-12-19T13:12:53.564Z","VIEW_WEATHER","(37.0889639828301, 129.27450217342437)","","강릉","SUCCESS"
"2025-12-19T13:14:37.411Z","VIEW_WEATHER","(37.15913111048784, 129.4721978447001)","","강릉","SUCCESS"
"2025-12-19T13:14:48.820Z","VIEW_WEATHER","(35.6374999, 129.3517382)","","부산","SUCCESS"
"2025-12-19T13:14:50.028Z","VIEW_WEATHER","(35.6374999, 129.3517382)","","부산","SUCCESS"
"2025-12-19T13:14:58.578Z","VIEW_WEATHER","(35.53468616265622, 129.30908203125003)","","부산","SUCCESS"
"2025-12-19T13:16:01.317Z","VIEW_WEATHER","(35.6374999, 129.3517382)","","부산","SUCCESS"
"2025-12-19T13:16:03.537Z","VIEW_WEATHER","(35.6374999, 129.3517382)","","부산","SUCCESS"
"2025-12-19T13:16:09.202Z","VIEW_WEATHER","(37.388218847007096, 129.1574707115069)","","강릉","SUCCESS"
"2025-12-19T13:17:06.811Z","VIEW_WEATHER","(36.484642753882326, 129.69360351562503)","","강릉","SUCCESS"
"2025-12-19T13:17:14.243Z","VIEW_WEATHER","(37.29051906272279, 128.17619288855926)","","강릉","SUCCESS"
"2025-12-19T13:19:13.443Z","VIEW_WEATHER","(37.33426416227728, 129.09877268784595)","","강릉","SUCCESS"
"2025-12-19T13:21:01.212Z","VIEW_WEATHER","(37.30802015707765, 129.32941763766766)","","강릉","SUCCESS"
"2025-12-19T13:21:19.605Z","VIEW_WEATHER","(34.79349447875207, 128.36313517160707)","","여수","SUCCESS"
"2025-12-19T13:23:11.138Z","VIEW_WEATHER","(37.49153563475243, 128.95599248081348)","","강릉","SUCCESS"
"2025-12-19T13:23:19.838Z","VIEW_WEATHER","(35.772141566657275, 129.49432579421486)","","부산","SUCCESS"
